Rank| H1B Visa Sponsor| Number of LCA  *| Average Salary| Job Title
164|United Software Solutions|8| $64,875|Computer Systems Analyst
165|108 Info System|8| $64,000|Computer Systems Analyst
166|Axis Technology Solutions|8| $61,925|Computer Systems Analyst
167|Aruna Info|8| $60,825|Computer Systems Analyst
168|Vdriveinfo|8| $60,200|Computer Systems Analyst
169|Ntt Data Enterprise Services|7| $121,919|Computer Systems Analyst
170|Teradata Operations|7| $100,311|Computer Systems Analyst
171|Brillersys|7| $97,323|Computer Systems Analyst
172|Eclinicalworks|7| $92,014|Computer Systems Analyst
173|Levanture|7| $84,000|Computer Systems Analyst
174|Ksoft Systems|7| $82,886|Computer Systems Analyst
175|Gdn Infotech|7| $76,555|Computer Systems Analyst
176|Blueline Software Services|7| $71,714|Computer Systems Analyst
177|Savi Technologies|7| $69,571|Computer Systems Analyst
178|It Trailblazers|7| $65,857|Computer Systems Analyst
179|First Tek|7| $65,615|Computer Systems Analyst
180|Horizon Advanced Systems|7| $63,286|Computer Systems Analyst
181|Magnus Technology Solutions|7| $63,000|Computer Systems Analyst
182|American It Source|7| $62,857|Computer Systems Analyst
183|Smilesys|7| $60,133|Computer Systems Analyst
184|Invensys|7| $59,009|Computer Systems Analyst
185|Cook Systems International|6| $103,197|Computer Systems Analyst
186|Tata Consultancy Services|6| $97,846|Computer Systems Analyst
187|Ciber|6| $97,542|Computer Systems Analyst
188|Mistral Solutions|6| $95,037|Computer Systems Analyst
189|Progressive Technology Solutions|6| $82,274|Computer Systems Analyst
190|S R International|6| $78,206|Computer Systems Analyst
191|Predictive Analytics Decision Services (Usa)|6| $78,117|Computer Systems Analyst
192|Srk Group,|6| $77,764|Computer Systems Analyst
193|Icube Consultancy Services|6| $77,333|Computer Systems Analyst
194|Softhq|6| $74,250|Computer Systems Analyst
195|Astir It Solutions|6| $73,950|Computer Systems Analyst
196|Manage My Dream|6| $73,167|Computer Systems Analyst
197|Software Professionals|6| $72,295|Computer Systems Analyst
198|Tek Analytics|6| $71,625|Computer Systems Analyst
199|Biztech Solutions|6| $70,833|Computer Systems Analyst
200|Corpsystems|6| $68,554|Computer Systems Analyst
201|Riteclik|6| $66,667|Computer Systems Analyst
202|Vincesolutions|6| $65,667|Computer Systems Analyst
203|Savvytech Solutions|6| $65,000|Computer Systems Analyst
204|Techexcel|6| $64,887|Computer Systems Analyst
205|Klouddata|6| $64,667|Computer Systems Analyst
206|Rapidit|6| $64,000|Computer Systems Analyst
207|Core Software Technologies|6| $63,167|Computer Systems Analyst
208|Teradyne Infotech|6| $62,775|Computer Systems Analyst
209|Soothsayer Analytics|6| $62,667|Computer Systems Analyst
210|Softima|6| $62,500|Computer Systems Analyst
211|Flatmind Technologies|6| $61,701|Computer Systems Analyst
212|Indus Group|6| $60,747|Computer Systems Analyst
213|Sigma Software|6| $60,067|Computer Systems Analyst
214|Armo Consultants|6| $57,402|Computer Systems Analyst
215|Hypervisor Technologies|6| $49,167|Computer Systems Analyst
216|Cyberbest Technology|5| $193,089|Computer Systems Analyst
217|The Baer Group|5| $143,520|Computer Systems Analyst
218|Adventure Solutions|5| $95,535|Computer Systems Analyst
219|Sikka Software|5| $94,001|Computer Systems Analyst
220|Sai Business Solutions|5| $87,104|Computer Systems Analyst
221|Computer Task Group|5| $87,072|Computer Systems Analyst
222|Cottonwood & Abbey Technology Partners|5| $83,616|Computer Systems Analyst
223|Power Costs|5| $79,828|Computer Systems Analyst
224|Mindboard|5| $78,500|Computer Systems Analyst
225|Uis Consulting|5| $77,859|Computer Systems Analyst
1|Microsoft|696| $149,530|Senior Software Engineer
2|Capital One Services|188| $108,497|Senior Software Engineer
3|IBM|163| $93,060|Senior Software Engineer
4|Qualcomm Technologies|127| $115,113|Senior Software Engineer
5|Linkedin|112| $170,229|Senior Software Engineer
6|Wal-Mart Associates|101| $139,948|Senior Software Engineer
7|Capital One, National Association|89| $108,569|Senior Software Engineer
8|Kpit Infosystems|84| $65,209|Senior Software Engineer
9|Intuit|82| $146,320|Senior Software Engineer
10|Uber Technologies|72| $158,445|Senior Software Engineer
11|Emc|66| $109,847|Senior Software Engineer
12|Globallogic|60| $114,439|Senior Software Engineer
13|Netflix|55| $169,217|Senior Software Engineer
14|Photon Infotech|52| $70,724|Senior Software Engineer
15|Citrix Systems|50| $118,841|Senior Software Engineer
16|Client Network Services|50| $95,360|Senior Software Engineer
17|Twitter|49| $161,582|Senior Software Engineer
18|General Electric Company|46| $134,048|Senior Software Engineer
19|The Mathworks|44| $113,099|Senior Software Engineer
20|Altimetrik|42| $100,458|Senior Software Engineer
21|Epam Systems|42| $86,429|Senior Software Engineer
22|Nisum Technologies|38| $105,293|Senior Software Engineer
23|Inovant|34| $113,244|Senior Software Engineer
24|Aricent Technologies (Holdings)|32| $74,227|Senior Software Engineer
25|Qualcomm|31| $115,666|Senior Software Engineer
26|Appdynamics|28| $147,068|Senior Software Engineer
27|Lendingclub|28| $145,721|Senior Software Engineer
28|American Express Travel Related Services|28| $118,643|Senior Software Engineer
29|Webilent Technology|28| $88,446|Senior Software Engineer
30|Bally Gaming|27| $87,359|Senior Software Engineer
31|Intraedge|27| $75,778|Senior Software Engineer
32|Cyient|27| $61,871|Senior Software Engineer
33|Ge Healthcare Iits Usa|26| $107,308|Senior Software Engineer
34|Randstad Technologies|26| $106,561|Senior Software Engineer
35|Etouch Systems|25| $110,114|Senior Software Engineer
36|Aol|24| $97,716|Senior Software Engineer
37|Sagitec Solutions|24| $81,708|Senior Software Engineer
38|Impetus Technologies|22| $96,364|Senior Software Engineer
39|Yellowpages.Com|20| $117,650|Senior Software Engineer
40|Cerner|20| $99,220|Senior Software Engineer
41|Infostretch|20| $93,253|Senior Software Engineer
42|Tangome|19| $131,438|Senior Software Engineer
43|Hrb Professional Resources|19| $102,776|Senior Software Engineer
44|Infowave Systems|18| $83,611|Senior Software Engineer
45|Thomson Reuters (Markets)|17| $107,581|Senior Software Engineer
46|Akamai Technologies|16| $122,374|Senior Software Engineer
47|Ca|16| $121,125|Senior Software Engineer
48|Netrovert Software|16| $105,000|Senior Software Engineer
49|Span Systems|16| $72,750|Senior Software Engineer
50|Rs Software (India)|16| $70,404|Senior Software Engineer
51|Benefitalign|16| $65,000|Senior Software Engineer
52|Salesforce.Com|15| $119,409|Senior Software Engineer
53|Cybersource|15| $109,010|Senior Software Engineer
54|Servicenow|14| $135,124|Senior Software Engineer
55|Comcast Cable Communications|14| $122,159|Senior Software Engineer
56|Reed Elsevier (Lexisnexis Division)|14| $109,187|Senior Software Engineer
57|Spirent Communications|14| $92,358|Senior Software Engineer
58|Clairvoyant|14| $77,571|Senior Software Engineer
59|Openlogix|14| $76,643|Senior Software Engineer
60|Accel International|14| $67,629|Senior Software Engineer
61|Wellington Management Company|13| $124,808|Senior Software Engineer
62|Veritas Technologies|13| $116,111|Senior Software Engineer
63|Optum Services|13| $107,418|Senior Software Engineer
64|Staples|13| $95,633|Senior Software Engineer
65|Splunk|12| $159,379|Senior Software Engineer
66|Amadeus North America|12| $114,082|Senior Software Engineer
67|Pantar Solutions|12| $94,825|Senior Software Engineer
68|Wintek Solutions|12| $84,800|Senior Software Engineer
69|Software Paradigms International Group|12| $82,583|Senior Software Engineer
70|Methodica Technologies|12| $70,750|Senior Software Engineer
71|Box|11| $166,406|Senior Software Engineer
72|Harman Becker Automotive Systems|11| $103,074|Senior Software Engineer
73|Mastercard International|11| $97,874|Senior Software Engineer
74|Trizetto, A Cognizant Company|11| $93,861|Senior Software Engineer
75|Indus Valley Partners|11| $92,055|Senior Software Engineer
76|Symantec|10| $119,091|Senior Software Engineer
77|Adap.Tv|10| $109,063|Senior Software Engineer
78|Vision3 Solutions|10| $109,000|Senior Software Engineer
79|Keste|10| $107,342|Senior Software Engineer
80|Lexisnexis Risk Data Management|10| $106,876|Senior Software Engineer
81|Ameriinfo|10| $99,896|Senior Software Engineer
82|Innocore Solutions|10| $88,290|Senior Software Engineer
83|Swift Technologies|10| $67,930|Senior Software Engineer
84|Lifelock|9| $145,425|Senior Software Engineer
85|Twilio|9| $142,710|Senior Software Engineer
86|Aim Big|9| $116,922|Senior Software Engineer
87|Here North America|9| $109,513|Senior Software Engineer
88|Pros|9| $100,923|Senior Software Engineer
89|Aci Worldwide|9| $100,191|Senior Software Engineer
90|Infor (Us)|9| $93,185|Senior Software Engineer
91|Qburst Technologies|9| $77,556|Senior Software Engineer
92|Ibs Software Services Americas|9| $64,111|Senior Software Engineer
93|Kpi Partners|8| $150,125|Senior Software Engineer
94|Guidewire Software|8| $142,991|Senior Software Engineer
95|Baha Industries|8| $135,750|Senior Software Engineer
96|Sony Network Entertainment International|8| $132,846|Senior Software Engineer
97|Iris Software|8| $132,657|Senior Software Engineer
98|Okta|8| $131,215|Senior Software Engineer
99|Getgo|8| $128,397|Senior Software Engineer
100|Digital Insight|8| $127,063|Senior Software Engineer
101|Blizzard Entertainment|8| $120,877|Senior Software Engineer
102|Rakuten Marketing|8| $120,625|Senior Software Engineer
103|Infoblox|8| $120,552|Senior Software Engineer
104|General Motors Company|8| $116,716|Senior Software Engineer
105|Priceline.Com|8| $109,665|Senior Software Engineer
106|Mastech, A Mastech Holdings Company|8| $105,874|Senior Software Engineer
107|Arris Technology|8| $100,098|Senior Software Engineer
108|Ptc|8| $97,636|Senior Software Engineer
109|Oclc Online Computer Library Center|8| $91,198|Senior Software Engineer
110|Hawaii Medical Service Association|8| $87,882|Senior Software Engineer
111|Verizon Digital Media Services|8| $87,630|Senior Software Engineer
112|Medallia|7| $163,143|Senior Software Engineer
113|F5 Networks|7| $154,603|Senior Software Engineer
114|Zillow|7| $153,759|Senior Software Engineer
115|Kohl's Department Stores|7| $141,161|Senior Software Engineer
116|Cornerstone Ondemand|7| $131,870|Senior Software Engineer
117|Trinet Hr|7| $121,721|Senior Software Engineer
118|Xilinx|7| $114,394|Senior Software Engineer
119|Dealertrack|7| $110,213|Senior Software Engineer
120|Ust Global|7| $105,000|Senior Software Engineer
121|Premier|7| $103,007|Senior Software Engineer
122|Xavient Information Systems|7| $102,034|Senior Software Engineer
123|Interactive Communications International|7| $101,899|Senior Software Engineer
124|Fis Management Services|7| $95,418|Senior Software Engineer
125|Royal Cyber|7| $89,286|Senior Software Engineer
126|E-Business International|7| $88,286|Senior Software Engineer
127|Krish Info Tech|7| $80,000|Senior Software Engineer
128|Stat9 Technologies|7| $75,714|Senior Software Engineer
129|Vcarve|7| $73,143|Senior Software Engineer
130|Mitchell/Martin|6| $177,187|Senior Software Engineer
131|Baidu Usa|6| $150,600|Senior Software Engineer
132|Credify Finance|6| $149,537|Senior Software Engineer
133|Etsy|6| $149,467|Senior Software Engineer
134|Jet.Com|6| $145,000|Senior Software Engineer
135|Maplebear|6| $144,167|Senior Software Engineer
136|Mobileiron|6| $138,758|Senior Software Engineer
137|Disney Online|6| $138,741|Senior Software Engineer
138|Hortonworks|6| $137,503|Senior Software Engineer
139|Fireeye|6| $133,811|Senior Software Engineer
140|Ebates Performance Marketing|6| $132,893|Senior Software Engineer
141|Demandware|6| $130,999|Senior Software Engineer
142|Eharmony|6| $130,833|Senior Software Engineer
143|Brocade Communications Systems|6| $130,617|Senior Software Engineer
144|Vision Service Plan|6| $127,156|Senior Software Engineer
145|Informatica|6| $126,170|Senior Software Engineer
146|Shieldx Networks|6| $126,152|Senior Software Engineer
147|Mediamath|6| $123,333|Senior Software Engineer
148|Brightcove|6| $120,365|Senior Software Engineer
149|Shutterfly|6| $119,183|Senior Software Engineer
150|A10 Networks|6| $119,129|Senior Software Engineer
151|Nike|6| $117,253|Senior Software Engineer
152|The Depository Trust And Clearing|6| $114,675|Senior Software Engineer
153|Kaplan|6| $114,400|Senior Software Engineer
154|Mckesson|6| $114,361|Senior Software Engineer
155|Comscore|6| $110,221|Senior Software Engineer
156|Tavant Technologies|6| $106,267|Senior Software Engineer
157|Thomson Reuters|6| $104,296|Senior Software Engineer
158|Answers|6| $100,971|Senior Software Engineer
159|Essence Group Holdings|6| $99,303|Senior Software Engineer
160|Bigbinary|6| $91,000|Senior Software Engineer
161|Cyma Systems|6| $78,717|Senior Software Engineer
162|Aptude|6| $74,167|Senior Software Engineer
163|Pyramid Technology Solutions|6| $72,719|Senior Software Engineer
164|Prolifics|6| $67,902|Senior Software Engineer
165|Mindtree|6| $67,618|Senior Software Engineer
166|Gridstore|5| $164,300|Senior Software Engineer
167|Nerdwallet|5| $159,000|Senior Software Engineer
168|Electronic Arts|5| $152,802|Senior Software Engineer
169|Mapr Technologies|5| $146,300|Senior Software Engineer
170|Credit Karma|5| $143,849|Senior Software Engineer
171|Qualys|5| $143,000|Senior Software Engineer
172|Imvu|5| $139,681|Senior Software Engineer
173|Turn|5| $136,137|Senior Software Engineer
174|Svb Financial Group|5| $135,159|Senior Software Engineer
175|Telenav|5| $135,116|Senior Software Engineer
176|Equinix|5| $132,664|Senior Software Engineer
177|Artyllect|5| $127,000|Senior Software Engineer
178|Cvent|5| $115,882|Senior Software Engineer
179|Razorfish|5| $111,313|Senior Software Engineer
180|Motorola Mobility|5| $108,099|Senior Software Engineer
181|Lexisnexis Risk Solutions|5| $107,393|Senior Software Engineer
182|Isr Info Way|5| $106,615|Senior Software Engineer
183|Apollo Education Group|5| $106,261|Senior Software Engineer
184|Pathpartner Technology|5| $106,200|Senior Software Engineer
185|Incontact|5| $104,800|Senior Software Engineer
186|Peoplefluent|5| $103,256|Senior Software Engineer
187|Continental Automotive Systems|5| $102,617|Senior Software Engineer
188|Robert Bosch|5| $101,587|Senior Software Engineer
189|Carefusion|5| $90,737|Senior Software Engineer
190|Torque Technologies|5| $86,960|Senior Software Engineer
191|V.L.S Systems|5| $78,400|Senior Software Engineer
192|Majesco|5| $75,684|Senior Software Engineer
193|Gspann Technologies|5| $75,616|Senior Software Engineer
194|Pure Storage|4| $156,250|Senior Software Engineer
195|Evernote|4| $149,813|Senior Software Engineer
196|Sysomos|4| $149,047|Senior Software Engineer
197|Ooyala|4| $148,750|Senior Software Engineer
198|Palo Alto Networks|4| $148,000|Senior Software Engineer
199|Tableau Software|4| $147,700|Senior Software Engineer
200|Faraday & Future|4| $145,000|Senior Software Engineer
202|Nextdoor.Com|4| $143,921|Senior Software Engineer
203|Calypso Technology|4| $142,123|Senior Software Engineer
204|Docusign|4| $141,309|Senior Software Engineer
205|Veeva Systems|4| $137,692|Senior Software Engineer
206|The New York Times Company|4| $137,500|Senior Software Engineer
206|Automation Anywhere|4| $137,500|Senior Software Engineer
208|Tunein|4| $136,880|Senior Software Engineer
209|Zulily|4| $136,200|Senior Software Engineer
210|Samsung Information Systems America|4| $135,836|Senior Software Engineer
211|Arimo|4| $135,601|Senior Software Engineer
212|Zynga|4| $135,518|Senior Software Engineer
213|Accelops|4| $131,794|Senior Software Engineer
214|Saavn|4| $130,325|Senior Software Engineer
215|St. Jude Medical, Af Division|4| $130,151|Senior Software Engineer
216|8l Design|4| $127,500|Senior Software Engineer
217|Ascentis|4| $125,000|Senior Software Engineer
218|A-1 Technology|4| $124,800|Senior Software Engineer
219|Financial Engines|4| $123,572|Senior Software Engineer
220|Getty Images (Seattle)|4| $122,409|Senior Software Engineer
221|Ncr|4| $122,140|Senior Software Engineer
222|Constant Contact|4| $119,547|Senior Software Engineer
223|Shared Technology Services Group|4| $118,618|Senior Software Engineer
224|The Nielsen Company (Us)|4| $117,750|Senior Software Engineer
225|Fareportal|4| $117,500|Senior Software Engineer
1|Tata Consultancy Services|5,187| $74,938|Developer
2|Lenmar Consulting|62| $60,747|Developer
3|Headstrong Services|61| $79,644|Developer
4|Capgemini|60| $98,467|Developer
5|Sap Labs|58| $98,933|Developer
6|Nagarro|54| $72,593|Developer
